Date,Price,Open,High,Low,Change %
5-Aug-11,1.4282,1.4099,1.1824,1.1758,0.23%
8-Aug-11,1.4177,1.4387,1.1834,1.1745,-0.31%
9-Aug-11,1.437,1.4173,1.1844,1.178,0.01%
10-Aug-11,1.4174,1.4395,1.192,1.1795,-0.50%
11-Aug-11,1.4243,1.4163,1.1891,1.1795,0.43%
12-Aug-11,1.4249,1.424,1.1861,1.171,0.84%
15-Aug-11,1.4446,1.4261,1.177,1.1603,0.09%
16-Aug-11,1.4409,1.4447,1.174,1.1633,0.61%
17-Aug-11,1.4425,1.4403,1.1658,1.1622,-0.06%
18-Aug-11,1.4331,1.4423,1.1705,1.1639,-0.23%
19-Aug-11,1.4398,1.4329,1.176,1.165,-0.60%
22-Aug-11,1.436,1.4375,1.1798,1.1717,-0.43%
23-Aug-11,1.4438,1.4358,1.1839,1.1793,-0.11%
24-Aug-11,1.4413,1.4432,1.1861,1.1803,-0.43%
25-Aug-11,1.438,1.4412,1.1866,1.1787,0.36%
26-Aug-11,1.4499,1.4374,1.1868,1.1811,-0.38%
29-Aug-11,1.451,1.4497,1.1882,1.1821,0.34%
30-Aug-11,1.4446,1.4516,1.1841,1.176,0.47%
31-Aug-11,1.4379,1.4436,1.1795,1.1703,0.41%
1-Sep-11,1.4259,1.4375,1.1746,1.1694,0.10%
2-Sep-11,1.4205,1.426,1.176,1.1688,-0.34%
5-Sep-11,1.4092,1.4167,1.1772,1.1719,0.02%
6-Sep-11,1.4,1.4097,1.1817,1.1731,-0.58%
7-Sep-11,1.4097,1.3994,1.1827,1.1786,-0.09%
8-Sep-11,1.3882,1.4094,1.1832,1.1753,0.56%
9-Sep-11,1.3653,1.3883,1.1782,1.1732,-0.02%
12-Sep-11,1.3673,1.3568,1.1783,1.1724,0.22%
13-Sep-11,1.3683,1.367,1.1809,1.1731,-0.40%
14-Sep-11,1.3747,1.3683,1.1798,1.1707,0.58%
15-Sep-11,1.3878,1.3744,1.1751,1.1695,-0.29%
16-Sep-11,1.38,1.3886,1.177,1.1717,0.25%
19-Sep-11,1.3685,1.3672,1.1756,1.1684,-0.20%
20-Sep-11,1.3706,1.3674,1.1746,1.166,0.67%
21-Sep-11,1.3566,1.3702,1.1679,1.1615,0.29%
22-Sep-11,1.346,1.3579,1.1686,1.1612,-0.36%
23-Sep-11,1.3498,1.3462,1.1688,1.1626,0.11%
26-Sep-11,1.354,1.351,1.1719,1.1651,-0.40%
27-Sep-11,1.3592,1.3527,1.1774,1.1691,-0.54%
28-Sep-11,1.3542,1.359,1.1873,1.1731,-0.57%
29-Sep-11,1.3594,1.3529,1.1871,1.1826,-0.08%
30-Sep-11,1.3386,1.3585,1.1854,1.1737,0.28%
3-Oct-11,1.3169,1.3337,1.1883,1.1787,-0.26%
4-Oct-11,1.334,1.3183,1.1901,1.1839,-0.19%
5-Oct-11,1.3348,1.3346,1.1889,1.183,0.19%
6-Oct-11,1.3432,1.3354,1.1875,1.1812,0.27%
7-Oct-11,1.3377,1.3431,1.1918,1.18,0.09%
10-Oct-11,1.3643,1.3396,1.1834,1.1753,0.20%
11-Oct-11,1.3645,1.364,1.1829,1.1765,-0.32%
12-Oct-11,1.3787,1.3649,1.1849,1.1811,-0.18%
13-Oct-11,1.3776,1.3785,1.1866,1.1781,-0.09%
14-Oct-11,1.3877,1.3773,1.1866,1.1789,-0.03%
17-Oct-11,1.3742,1.3885,1.1931,1.1822,-0.48%
18-Oct-11,1.3739,1.3735,1.2012,1.1901,-0.22%
19-Oct-11,1.3756,1.3739,1.1967,1.1883,0.28%
20-Oct-11,1.3777,1.3756,1.192,1.181,0.69%
21-Oct-11,1.3896,1.3775,1.1902,1.1762,-0.07%
24-Oct-11,1.3925,1.3864,1.1841,1.1772,-0.03%
25-Oct-11,1.3906,1.3931,1.1845,1.1783,0.39%
26-Oct-11,1.3902,1.3912,1.1851,1.1783,-0.07%
27-Oct-11,1.4192,1.3884,1.1883,1.1754,-0.54%
28-Oct-11,1.4148,1.4183,1.1869,1.1802,0.19%
31-Oct-11,1.3857,1.415,1.1954,1.183,-0.78%
1-Nov-11,1.3696,1.3857,1.1967,1.1865,0.51%
2-Nov-11,1.3746,1.3695,1.1882,1.1829,0.24%
3-Nov-11,1.3815,1.375,1.1852,1.1782,0.25%
4-Nov-11,1.3796,1.3813,1.1865,1.1781,0.25%
7-Nov-11,1.3776,1.3837,1.1816,1.171,0.37%
8-Nov-11,1.3838,1.3776,1.1808,1.1722,0.03%
9-Nov-11,1.3546,1.3836,1.1803,1.1736,-0.44%
10-Nov-11,1.3603,1.3546,1.1884,1.1755,-0.75%
11-Nov-11,1.3752,1.3601,1.1917,1.1818,0.11%
14-Nov-11,1.3626,1.3809,1.1906,1.1793,0.52%
15-Nov-11,1.3533,1.3632,1.1807,1.172,0.33%
16-Nov-11,1.3463,1.3536,1.1797,1.1696,-0.11%
17-Nov-11,1.346,1.3457,1.191,1.176,-0.60%
18-Nov-11,1.351,1.346,1.1849,1.1731,0.47%
21-Nov-11,1.3495,1.3507,1.1807,1.1714,0.65%
22-Nov-11,1.3514,1.3493,1.1774,1.1698,-0.30%
23-Nov-11,1.3335,1.351,1.1782,1.1637,0.82%
24-Nov-11,1.335,1.3345,1.1659,1.158,0.52%
25-Nov-11,1.3234,1.3346,1.1628,1.1539,0.22%
28-Nov-11,1.331,1.3319,1.1602,1.1507,0.37%
29-Nov-11,1.3331,1.3314,1.154,1.1422,0.71%
30-Nov-11,1.3443,1.3317,1.1468,1.1401,0.16%
1-Dec-11,1.3464,1.3437,1.1444,1.1377,0.39%
2-Dec-11,1.3403,1.3463,1.1443,1.137,-0.24%
5-Dec-11,1.3403,1.3436,1.1452,1.1391,0.12%
6-Dec-11,1.3403,1.339,1.1409,1.1324,0.49%
7-Dec-11,1.3413,1.3397,1.1375,1.1297,0.37%
8-Dec-11,1.3346,1.3413,1.1326,1.1255,0.15%
9-Dec-11,1.3375,1.3344,1.1372,1.1279,-0.41%
12-Dec-11,1.3186,1.3384,1.1352,1.1262,0.51%
13-Dec-11,1.3034,1.3188,1.1334,1.1258,-0.33%
14-Dec-11,1.2981,1.303,1.1346,1.124,0.53%
15-Dec-11,1.3018,1.2982,1.1254,1.1219,0.08%
16-Dec-11,1.3035,1.302,1.1303,1.1222,-0.11%
19-Dec-11,1.2995,1.3043,1.1276,1.1185,0.17%
20-Dec-11,1.3079,1.3003,1.1263,1.1191,-0.08%
21-Dec-11,1.3045,1.3079,1.1289,1.1216,0.21%
22-Dec-11,1.3051,1.3047,1.1241,1.1194,0.01%
23-Dec-11,1.3043,1.3051,1.1261,1.119,-0.30%
26-Dec-11,1.306,1.3046,1.1327,1.1248,-0.50%
27-Dec-11,1.3068,1.3062,1.135,1.1233,0.43%
28-Dec-11,1.2936,1.307,1.1271,1.1168,0.74%
29-Dec-11,1.2962,1.2939,1.1255,1.1168,-0.24%
30-Dec-11,1.2948,1.2963,1.1264,1.1185,-0.36%
2-Jan-12,1.2929,1.2938,1.1295,1.1207,-0.17%
3-Jan-12,1.3051,1.2933,1.1353,1.1228,-0.53%
4-Jan-12,1.2942,1.3051,1.1334,1.1226,0.60%
5-Jan-12,1.278,1.2944,1.1341,1.1212,-0.38%
6-Jan-12,1.2721,1.2788,1.1404,1.1287,-0.63%
9-Jan-12,1.2767,1.2693,1.1423,1.1322,0.26%
10-Jan-12,1.2772,1.2766,1.1365,1.1241,0.43%
11-Jan-12,1.2704,1.2774,1.1321,1.1267,0.07%
12-Jan-12,1.2826,1.2706,1.1385,1.1278,-0.46%
13-Jan-12,1.2677,1.2822,1.1363,1.1194,0.93%
16-Jan-12,1.2664,1.2639,1.1257,1.1166,0.56%
17-Jan-12,1.274,1.2664,1.1197,1.1114,0.32%
18-Jan-12,1.2854,1.2736,1.1155,1.1095,0.32%
19-Jan-12,1.2965,1.2858,1.1146,1.107,0.19%
20-Jan-12,1.2938,1.2967,1.1094,1.0991,0.66%
23-Jan-12,1.303,1.2872,1.1032,1.0934,0.21%
24-Jan-12,1.3022,1.3028,1.0997,1.0891,0.75%
25-Jan-12,1.311,1.3028,1.0915,1.087,-0.02%
26-Jan-12,1.31,1.3104,1.0961,1.0885,-0.44%
27-Jan-12,1.3226,1.3106,1.101,1.0936,-0.26%
30-Jan-12,1.3127,1.3226,1.1,1.0918,0.51%
31-Jan-12,1.3079,1.3135,1.0977,1.0901,0.09%
1-Feb-12,1.3159,1.3081,1.0927,1.0799,0.90%
2-Feb-12,1.3146,1.3161,1.0851,1.0789,0.10%
3-Feb-12,1.3144,1.3144,1.0826,1.0775,-0.12%
6-Feb-12,1.3134,1.3114,1.0897,1.0811,-0.28%
7-Feb-12,1.3266,1.3135,1.0885,1.0784,0.37%
8-Feb-12,1.3258,1.326,1.0851,1.08,-0.30%
9-Feb-12,1.3283,1.3262,1.0876,1.0814,0.06%
10-Feb-12,1.3175,1.3284,1.0835,1.0766,0.36%
13-Feb-12,1.3194,1.3208,1.0848,1.0782,-0.42%
14-Feb-12,1.3119,1.3193,1.0927,1.0826,-0.62%
15-Feb-12,1.3071,1.3126,1.098,1.0895,-0.70%
16-Feb-12,1.3141,1.3067,1.1019,1.0934,0.26%
17-Feb-12,1.3152,1.3133,1.0973,1.0833,0.75%
20-Feb-12,1.324,1.3185,1.0886,1.0818,0.51%
21-Feb-12,1.3241,1.3246,1.089,1.081,-0.09%
22-Feb-12,1.3245,1.3236,1.0862,1.0808,0.08%
23-Feb-12,1.3369,1.3245,1.0831,1.0726,0.40%
24-Feb-12,1.3457,1.3375,1.0848,1.0755,-0.42%
27-Feb-12,1.34,1.3464,1.0886,1.0802,-0.32%
28-Feb-12,1.347,1.3396,1.0882,1.0816,-0.05%
29-Feb-12,1.3326,1.3466,1.0898,1.0841,-0.14%
1-Mar-12,1.3312,1.3327,1.0893,1.0812,0.38%
2-Mar-12,1.3203,1.3314,1.0913,1.0817,-0.66%
5-Mar-12,1.3218,1.319,1.0991,1.0856,-0.66%
6-Mar-12,1.3115,1.322,1.0988,1.0904,0.60%
7-Mar-12,1.315,1.3116,1.0969,1.0892,-0.19%
8-Mar-12,1.3271,1.3147,1.0953,1.0919,0.06%
9-Mar-12,1.3114,1.3281,1.0953,1.0841,0.65%
12-Mar-12,1.3155,1.3112,1.0904,1.0829,-0.30%
13-Mar-12,1.3084,1.315,1.0926,1.0783,0.91%
14-Mar-12,1.3029,1.3078,1.0835,1.0768,-0.15%
15-Mar-12,1.3083,1.303,1.0865,1.0773,-0.45%
16-Mar-12,1.3175,1.3083,1.097,1.082,-0.97%
19-Mar-12,1.3241,1.318,1.104,1.0903,-0.61%
20-Mar-12,1.3225,1.3239,1.1056,1.0926,-0.15%
21-Mar-12,1.3212,1.3224,1.1145,1.101,-0.84%
22-Mar-12,1.3198,1.321,1.1148,1.0953,1.02%
23-Mar-12,1.3273,1.3198,1.1059,1.0869,1.36%
26-Mar-12,1.3358,1.3272,1.0895,1.0761,0.86%
27-Mar-12,1.3318,1.3354,1.0889,1.0722,0.62%
28-Mar-12,1.3317,1.3318,1.0828,1.0637,0.26%
29-Mar-12,1.3302,1.3316,1.0832,1.0637,0.03%
30-Mar-12,1.3344,1.3299,1.0982,1.0654,-2.05%
2-Apr-12,1.3323,1.3359,1.1046,1.0802,-0.75%
3-Apr-12,1.3234,1.332,1.119,1.0955,-1.66%
4-Apr-12,1.3142,1.3232,1.1237,1.1046,0.69%
5-Apr-12,1.3064,1.314,1.1222,1.1054,-0.70%
6-Apr-12,1.3096,1.3064,1.1334,1.1055,-0.75%
9-Apr-12,1.3102,1.3102,1.1367,1.1257,-0.10%
10-Apr-12,1.3081,1.3107,1.1459,1.1274,-1.48%
11-Apr-12,1.311,1.3082,1.1494,1.1284,1.44%
12-Apr-12,1.3186,1.3108,1.1356,1.1212,0.40%
13-Apr-12,1.3077,1.3186,1.1245,1.1119,0.94%
16-Apr-12,1.3139,1.3066,1.1187,1.1094,-0.33%
17-Apr-12,1.3125,1.3136,1.1214,1.1095,0.35%
18-Apr-12,1.3121,1.3127,1.1186,1.1003,0.97%
19-Apr-12,1.3136,1.3122,1.1054,1.095,0.24%
20-Apr-12,1.3224,1.3137,1.1006,1.0878,1.09%
23-Apr-12,1.3155,1.3192,1.091,1.0855,0.00%
24-Apr-12,1.3194,1.3157,1.0891,1.0829,0.25%
25-Apr-12,1.3223,1.3195,1.0872,1.0805,0.08%
26-Apr-12,1.3209,1.3222,1.0864,1.0783,0.56%
27-Apr-12,1.3255,1.3191,1.0821,1.0776,-0.19%
30-Apr-12,1.3241,1.3239,1.0812,1.0782,0.13%
1-May-12,1.3239,1.3243,1.0839,1.0785,-0.40%
2-May-12,1.3157,1.3239,1.0852,1.0821,0.03%
3-May-12,1.3152,1.3154,1.0862,1.0827,-0.09%
4-May-12,1.3083,1.3152,1.089,1.0833,-0.29%
7-May-12,1.3054,1.303,1.0927,1.0864,-0.39%
8-May-12,1.3003,1.3058,1.0926,1.0891,0.05%
9-May-12,1.2933,1.2999,1.0958,1.0907,-0.31%
10-May-12,1.2936,1.2931,1.0986,1.0941,-0.32%
11-May-12,1.2917,1.2933,1.1014,1.0964,-0.17%
14-May-12,1.2826,1.2882,1.1049,1.0993,-0.41%
15-May-12,1.2731,1.2824,1.1065,1.1033,-0.14%
16-May-12,1.2716,1.2732,1.1096,1.1035,-0.31%
17-May-12,1.2694,1.2716,1.1097,1.1016,0.56%
18-May-12,1.2783,1.2685,1.104,1.1006,0.19%
21-May-12,1.2814,1.2784,1.1028,1.0991,-0.10%
22-May-12,1.2684,1.2814,1.1026,1.0998,0.04%
23-May-12,1.2586,1.2687,1.1039,1.1009,-0.06%
24-May-12,1.2536,1.259,1.1063,1.102,-0.26%
25-May-12,1.2517,1.2541,1.1109,1.1036,-0.35%
28-May-12,1.2542,1.2567,1.1099,1.107,0.08%
29-May-12,1.2498,1.2542,1.1119,1.108,-0.10%
30-May-12,1.237,1.2485,1.1104,1.1076,0.05%
31-May-12,1.2359,1.2367,1.1143,1.1085,-0.42%
1-Jun-12,1.2435,1.2361,1.1173,1.1128,-0.13%
4-Jun-12,1.2498,1.2433,1.1164,1.1118,0.20%
5-Jun-12,1.2454,1.2494,1.1145,1.1104,-0.06%
6-Jun-12,1.2572,1.2452,1.1148,1.1112,0.12%
7-Jun-12,1.2562,1.2579,1.113,1.1085,0.14%
8-Jun-12,1.2517,1.2563,1.1121,1.1092,0.01%
11-Jun-12,1.2475,1.2658,1.1169,1.1101,-0.43%
12-Jun-12,1.2513,1.2466,1.1198,1.1133,-0.38%
13-Jun-12,1.2556,1.2506,1.1207,1.1155,0.31%
14-Jun-12,1.2631,1.2565,1.1181,1.1125,-0.11%
15-Jun-12,1.2638,1.2628,1.1227,1.1163,-0.36%
18-Jun-12,1.2576,1.2721,1.1223,1.1205,0.00%
19-Jun-12,1.2688,1.2575,1.124,1.1198,0.12%
20-Jun-12,1.2704,1.2687,1.1223,1.117,0.20%
21-Jun-12,1.2544,1.2706,1.1188,1.1095,0.71%
22-Jun-12,1.257,1.2548,1.111,1.1082,0.06%
25-Jun-12,1.2505,1.2553,1.1107,1.1073,0.03%
26-Jun-12,1.249,1.2502,1.1095,1.1069,0.00%
27-Jun-12,1.247,1.2492,1.1097,1.1069,0.08%
28-Jun-12,1.244,1.2471,1.1127,1.1065,-0.39%
29-Jun-12,1.266,1.2441,1.1145,1.1107,0.08%
2-Jul-12,1.2586,1.2671,1.1156,1.111,-0.33%
3-Jul-12,1.2607,1.2584,1.1176,1.1128,0.05%
4-Jul-12,1.2523,1.2605,1.1159,1.1122,0.21%
5-Jul-12,1.2393,1.2527,1.12,1.1111,-0.08%
6-Jul-12,1.2288,1.2392,1.1155,1.1102,0.00%
9-Jul-12,1.2319,1.2271,1.1145,1.107,0.33%
10-Jul-12,1.2252,1.2317,1.1099,1.1062,0.26%
11-Jul-12,1.2239,1.2252,1.1079,1.1052,0.05%
12-Jul-12,1.2198,1.2239,1.1111,1.104,-0.41%
13-Jul-12,1.2252,1.2197,1.1109,1.1077,0.23%
16-Jul-12,1.2273,1.2255,1.1116,1.1066,-0.05%
17-Jul-12,1.2294,1.2273,1.1094,1.1065,0.04%
18-Jul-12,1.2284,1.2296,1.109,1.1003,0.56%
19-Jul-12,1.228,1.2284,1.1029,1.098,0.07%
20-Jul-12,1.2157,1.2279,1.1019,1.0999,0.09%
23-Jul-12,1.2115,1.2119,1.1026,1.0991,-0.19%
24-Jul-12,1.206,1.2116,1.1027,1.1006,0.05%
25-Jul-12,1.2159,1.206,1.1033,1.1004,-0.09%
26-Jul-12,1.2283,1.2159,1.1086,1.1014,-0.32%
27-Jul-12,1.2319,1.2283,1.1098,1.1051,-0.13%
30-Jul-12,1.226,1.234,1.1083,1.1053,-0.05%
31-Jul-12,1.2304,1.2262,1.1085,1.1062,0.06%
1-Aug-12,1.2226,1.2304,1.1091,1.1048,0.18%
2-Aug-12,1.218,1.2224,1.1058,1.1014,0.26%
3-Aug-12,1.2387,1.218,1.1028,1.0989,0.15%
6-Aug-12,1.2401,1.2379,1.1021,1.0994,-0.02%
7-Aug-12,1.2401,1.2401,1.104,1.1002,-0.22%
8-Aug-12,1.2365,1.2401,1.1044,1.1016,0.14%
9-Aug-12,1.2306,1.2367,1.1056,1.1016,-0.29%
10-Aug-12,1.229,1.2306,1.1092,1.1035,-0.16%
13-Aug-12,1.2332,1.228,1.1094,1.1064,-0.07%
14-Aug-12,1.2322,1.2332,1.1141,1.1063,-0.48%
15-Aug-12,1.2289,1.2322,1.1176,1.1124,-0.35%
16-Aug-12,1.2355,1.2292,1.1172,1.1128,0.13%
17-Aug-12,1.2334,1.2355,1.1176,1.113,0.02%
20-Aug-12,1.2344,1.2344,1.1152,1.1079,0.34%
21-Aug-12,1.2472,1.2347,1.112,1.1073,0.11%
22-Aug-12,1.2528,1.2473,1.1108,1.1076,0.18%
23-Aug-12,1.2564,1.2528,1.1123,1.1072,-0.22%
24-Aug-12,1.2513,1.2563,1.1164,1.1092,-0.23%
27-Aug-12,1.25,1.2511,1.1141,1.1106,0.05%
28-Aug-12,1.2565,1.2498,1.1158,1.1118,-0.22%
29-Aug-12,1.2529,1.2565,1.118,1.1137,-0.20%
30-Aug-12,1.2506,1.2531,1.1173,1.1114,0.42%
31-Aug-12,1.2577,1.2506,1.1141,1.1064,0.47%
3-Sep-12,1.2594,1.2567,1.1086,1.1021,0.35%
4-Sep-12,1.2567,1.2593,1.1047,1.0991,0.04%
5-Sep-12,1.2601,1.2567,1.105,1.1013,-0.12%
6-Sep-12,1.2631,1.2603,1.1063,1.1,0.33%
7-Sep-12,1.2816,1.2631,1.1035,1.097,0.32%
10-Sep-12,1.2759,1.2807,1.0991,1.0951,0.14%
11-Sep-12,1.2855,1.2757,1.0997,1.0941,-0.14%
12-Sep-12,1.29,1.2855,1.1001,1.0962,-0.06%
13-Sep-12,1.2989,1.29,1.0999,1.0956,0.11%
14-Sep-12,1.3127,1.299,1.1,1.0941,0.06%
17-Sep-12,1.3117,1.3127,1.0964,1.0904,0.25%
18-Sep-12,1.3048,1.3118,1.0943,1.0878,0.29%
19-Sep-12,1.3048,1.3046,1.0948,1.0884,-0.36%
20-Sep-12,1.2969,1.3049,1.096,1.0905,0.16%
21-Sep-12,1.298,1.2969,1.0969,1.0908,-0.19%
24-Sep-12,1.2931,1.2981,1.1025,1.0937,-0.70%
25-Sep-12,1.29,1.2933,1.1025,1.0983,0.25%
26-Sep-12,1.2872,1.2899,1.1027,1.0965,-0.23%
27-Sep-12,1.2914,1.2871,1.1069,1.0996,-0.21%
28-Sep-12,1.2858,1.2912,1.1075,1.1022,0.10%
1-Oct-12,1.2889,1.2859,1.1077,1.1013,-0.39%
2-Oct-12,1.292,1.2888,1.1076,1.099,0.65%
3-Oct-12,1.2906,1.2919,1.1093,1.0993,-0.66%
4-Oct-12,1.3018,1.2905,1.111,1.1055,0.11%
5-Oct-12,1.3034,1.3018,1.1087,1.0927,0.48%
8-Oct-12,1.297,1.303,1.1056,1.0984,-0.30%
9-Oct-12,1.2885,1.297,1.1061,1.103,-0.04%
10-Oct-12,1.2875,1.2885,1.1069,1.1015,0.17%
11-Oct-12,1.2927,1.2875,1.1057,1.102,-0.05%
12-Oct-12,1.295,1.2927,1.1085,1.1016,0.00%
15-Oct-12,1.295,1.2957,1.1039,1.0968,0.55%
16-Oct-12,1.3054,1.295,1.0979,1.0926,0.05%
17-Oct-12,1.3119,1.3054,1.1,1.0957,-0.21%
18-Oct-12,1.3066,1.3119,1.1062,1.0963,-0.60%
19-Oct-12,1.3022,1.3065,1.1092,1.1042,-0.19%
22-Oct-12,1.306,1.3013,1.1099,1.1072,-0.12%
23-Oct-12,1.2986,1.306,1.1116,1.1085,-0.10%
24-Oct-12,1.2974,1.2986,1.1166,1.1093,-0.38%
25-Oct-12,1.2934,1.2973,1.1154,1.1051,0.59%
26-Oct-12,1.2942,1.2934,1.1114,1.1063,-0.05%
29-Oct-12,1.2904,1.2948,1.1108,1.108,-0.14%
30-Oct-12,1.2959,1.2904,1.1107,1.1065,0.20%
31-Oct-12,1.296,1.2961,1.1114,1.1076,-0.11%
1-Nov-12,1.2942,1.2959,1.1114,1.1066,-0.15%
2-Nov-12,1.2837,1.2942,1.1159,1.1091,-0.29%
5-Nov-12,1.2797,1.2812,1.1192,1.113,-0.28%
6-Nov-12,1.2814,1.2795,1.1229,1.117,-0.39%
7-Nov-12,1.2771,1.2813,1.1231,1.1162,0.12%
